"id"	"experiment_id"	"grade_id"
24533	34264	17
24534	25391	18
24535	28753	17
24536	34459	17
24537	23968	17
24538	25111	18
24539	42310	17
24540	39236	17
24541	32305	17
24542	43917	17
24543	26213	17
24544	4551	34
24545	43293	27
24546	42188	28
24547	22003	25
24548	44110	17
24549	25901	17
24550	20915	27
24551	27309	25
24552	33821	17
24553	23232	17
24554	22285	17
24555	43585	17
24556	39368	21
24557	32422	17
24558	29053	17
24559	41197	17
24560	23287	17
24561	43388	17
24562	21973	17
24563	37853	29
24564	21066	17
24565	20698	17
24566	31408	20
24567	42179	29
24568	24029	17
24569	27986	17
24570	32203	17
24571	23406	17
24572	36489	17
24573	22129	17
24574	43322	21
24575	31311	17
24576	39088	21
24577	43514	28
24578	38546	17
24579	26780	17
24580	20617	17
24581	41375	17
24582	37370	17
24583	25888	17
24584	42805	17
24585	21430	17
24586	24300	17
24587	40725	17
24588	43805	17
24589	43141	27
24590	30001	17
24591	27396	17
24592	31996	17
24593	32852	17
24594	23588	17
24595	29450	24
24596	23051	17
24597	25757	17
24598	37209	17
24599	39910	17
24600	34346	17
24601	42954	17
24602	24826	17
24603	21128	17
24604	20346	26
24605	32875	17
24606	27683	17
24607	43218	17
24608	26159	17
24609	41590	28
24610	20193	17
24611	43930	17
24612	22519	25
24613	25878	18
24614	30368	29
24615	37938	22
24616	43247	17
24617	40641	28
24618	41065	17
24619	43362	17
24620	22061	17
24621	39225	17
24622	29322	24
24623	23218	17
24624	43342	19
24625	31228	17
24626	23226	17
24627	42730	29
24628	42689	17
24629	38057	18
24630	22511	25
24631	20457	17
24632	31937	20
24633	38247	17
24634	34010	17
24635	35440	20
24636	40311	28
24637	41828	21
24638	33847	17
24639	43825	17
24640	38644	17
24641	24885	17
24642	23531	17
24643	23145	17
24644	30992	17
24645	31507	17
24646	44129	17
24647	39545	17
24648	39131	17
24649	26487	17
24650	23528	17
24651	39822	21
24652	39027	17
24653	25709	17
24654	20601	25
24655	38219	17
24656	40052	17
24657	34355	20
24658	24140	17
24659	40433	18
24660	37592	28
24661	35221	17
24662	28023	17
24663	29183	17
24664	29224	17
24665	43178	17
24666	35502	17
24667	22535	25
24668	39148	17
24669	25279	17
24670	23151	17
24671	32289	17
24672	22464	25
24673	37392	17
24674	23886	17
24675	33010	17
24676	41890	17
24677	26976	25
24678	32719	29
24679	30427	18
24680	42521	17
24681	25495	17
24682	23676	17
24683	37022	17
24684	27845	17
24685	38682	17
24686	35717	17
24687	24517	17
24688	23455	25
24689	39039	17
24690	22469	17
24691	33167	17
24692	23837	17
24693	28480	17
24694	29468	17
24695	34557	17
24696	40727	17
24697	20378	17
24698	37880	17
24699	36675	17
24700	24815	17
24701	35902	17
24702	35271	17
24703	39956	17
24704	41146	18
24705	24800	17
24706	32558	27
24707	31917	17
24708	25310	17
24709	24615	24
24710	34392	17
24711	40251	17
24712	37689	28
24713	20460	17
24714	31958	17
24715	23801	24
24716	21622	25
24717	41696	17
24718	32584	27
24719	37437	25
24720	37335	17
24721	36299	17
24722	40013	28
24723	31010	26
24724	21441	25
24725	29117	17
24726	38408	28
24727	23522	17
24728	31835	17
24729	30820	17
24730	38658	17
24731	37442	25
24732	28708	17
24733	21323	17
24734	23847	29
24735	30163	17
24736	37727	17
24737	22878	25
24738	21647	17
24739	34367	17
24740	27546	17
24741	26325	17
24742	36803	20
24743	27950	17
24744	34212	17
24745	40212	17
24746	20712	25
24747	23728	17
24748	29265	29
24749	28754	17
24750	43344	28
24751	37964	29
24752	27893	17
24753	36860	17
24754	33096	24
24755	24917	17
24756	43950	25
24757	26335	17
24758	42874	17
24759	43246	17
24760	39271	17
24761	34339	17
24762	39458	21
24763	25117	17
24764	35455	17
24765	33356	17
24766	26510	17
24767	44021	18
24768	30313	17
24769	20840	25
24770	33788	17
24771	30906	17
24772	30661	17
24773	21092	25
24774	27075	17
24775	22686	20
24776	43170	29
24777	21012	17
24778	32794	17
24779	25439	17
24780	30133	17
24781	20576	25
24782	33362	17
24783	23639	17
24784	21343	17
24785	37757	17
24786	31858	28
24787	22645	17
24788	26776	17
24789	29192	20
24790	26078	17
24791	43862	24
24792	39019	17
24793	31792	17
24794	30052	17
24795	21530	17
24796	40133	17
24797	23371	17
24798	22182	17
24799	31335	17
24800	21849	25
24801	28323	17
24802	23068	17
24803	30794	17
24804	29103	25
24805	40125	17
24806	33735	17
24807	40417	17
24808	36948	17
24809	23064	17
24810	30088	17
24811	24122	17
24812	43703	17
24813	28944	17
24814	42463	17
24815	30333	20
24816	25951	17
24817	36066	17
24818	39142	22
24819	32899	17
24820	40015	29
24821	36587	17
24822	38454	29
24823	25658	17
24824	21603	17
24825	32918	17
24826	29323	17
24827	23670	17
24828	38782	17
24829	36994	17
24830	34331	18
24831	24253	17
24832	24194	17
24833	36705	17
24834	34697	17
24835	30870	18
24836	34007	17
24837	36016	17
24838	33581	17
24839	23078	17
24840	21083	17
24841	36901	17
24842	37868	29
24843	39439	23
24844	33272	17
