"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
15434	3239	17	"true"	21	3	
2842	1453	17	"true"	17	1	
3530	4354	17	"true"	17	1	
2966	2059	28	"false"	28		
33226	11929	33	"true"	33		
32324	12112	33	"true"	33		
2586	1040	17	"true"	17	1	
16860	5549	33	"true"	21		
34012	12324	33	"true"	33		
5524	8584	17	"true"	17	1	
3786	5484	17	"true"	17	1	
33282	12271	33	"true"	33		
33646	4860	33	"true"	29	3	
3409	3657	17	"true"	17	1	
3347	3499	17	"true"	17	1	
31879	4915	33	"true"	29		
33576	6060	33	"true"	17	1	
3528	4351	17	"true"	17	1	
33588	12373	33	"true"	33		
33318	978	33	"true"	29	3	
32450	11802	33	"true"	33		
4197	6820	17	"true"	17	1	
37655	944	21	"true"	21	3	
31663	11826	33	"true"	33		
32596	6121	33	"true"	17	1	
5385	8326	17	"true"	17	1	
5658	8811	17	"true"	17	1	
37657	1298	18	"true"			
33890	12240	33	"true"	33		
37658	2918	17	"true"	21	3	
37659	2771	17	"true"	21	3	
19286	8745	17	"true"	21	4	
3099	2591	17	"true"	17	1	
3910	5909	23	"false"			
37660	3213	17	"true"	21	4	
33636	2151	33	"true"	30		
33043	4708	33	"true"	33		
32595	4311	33	"true"	30		
5674	8834	17	"true"	17	1	
34595	5466	33	"true"	30		
2286	516	17	"true"	17	1	
2448	796	17	"true"	17	1	
3399	3614	17	"true"	17	1	
2102	235	17	"true"	17	1	
19515	8974	17	"true"	17	1	
5761	9012	17	"true"	17	1	
37661	3891	34	"true"			
31678	5088	33	"true"	21		
5921	9336	17	"false"	17	1	
31916	4419	33	"true"	33		
15904	4164	21	"true"	21	1	
32788	4813	33	"true"	28		
33464	4685	33	"true"	33		
32061	4391	33	"true"	30		
34244	4377	33	"true"	17	1	
13114	223	17	"false"			
13337	468	17	"false"			
13452	607	17	"false"			
13460	616	17	"false"			
13580	753	17	"false"			
13936	1166	17	"false"			
14083	1332	17	"false"			
14210	1482	17	"false"			
14214	1487	20	"false"			
14257	1554	17	"false"			
14303	1614	17	"false"			
14447	1801	17	"false"			
14454	1809	21	"false"			
14469	1829	21	"false"			
14453	1808	17	"false"	33		
14883	2349	29	"false"			
14699	2101	23	"false"	21		
15002	2527	21	"false"			
15161	2775	29	"false"			
15164	2779	29	"false"			
15174	2792	29	"false"			
15229	2892	29	"false"			
15288	2997	29	"false"			
15452	3264	24	"false"			
15471	3294	17	"false"			
15751	3711	17	"false"			
15841	4086	17	"false"			
15846	4091	26	"false"			
15853	4103	17	"false"			
15894	4150	17	"false"			
15940	4214	17	"false"			
15754	3714	20	"true"			
16003	4324	17	"false"			
16211	4635	17	"false"			
16221	4645	17	"false"			
16225	4649	17	"false"			
16226	4650	17	"false"			
16228	4652	25	"false"			
16311	4833	17	"false"			
16312	4834	17	"false"			
19306	8765	17	"true"	17	1	
19330	8789	17	"false"			
19365	8824	17	"false"			
19433	8892	17	"false"			
19441	8900	17	"false"			
19443	8902	17	"false"			
19632	9091	17	"false"			
19751	9210	17	"false"			
19754	9213	17	"false"			
2196	376	26	"true"			
31499	4184	33	"true"	30		
31923	5345	33	"false"			
32065	3839	33	"false"			
32066	2125	33	"false"			
32079	58	33	"false"			
32096	3949	33	"false"			
32287	6085	33	"false"			
32188	3728	33	"false"	28		
32408	919	33	"false"			
32493	6127	33	"false"			
32566	4869	33	"false"			
32634	4288	33	"false"			
32683	1098	33	"false"			
32926	6248	33	"false"			
33373	2007	33	"false"			
33458	171	33	"false"			
33527	735	33	"true"	17	1	
33515	3937	33	"false"			
33612	5332	33	"false"			
33620	5502	33	"false"			
33645	6125	33	"false"			
33759	4299	33	"false"			
33811	4280	33	"false"			
