"id"	"substance_id"	"ncgc_id"	"tox21_id"	"pubchem_sid"	"bottle_barcode"	"withdrawn"
1	6934	"NCGC00256957-01"	303184	144213501	"TX001737"	"false"
2	1450	"NCGC00255652-01"	301387	144211704	"TX003293"	"false"
3	324	"NCGC00257138-01"	303334	144213651	"TX003866"	"false"
4	6147	"NCGC00254853-01"	300951	144211268	"TX002391"	"false"
5	1119	"NCGC00255307-01"	302335	144212652	"TX009064"	"false"
6	407	"NCGC00257237-01"	303365	144213680	"TX008733"	"false"
7	6728	"NCGC00255377-01"	302161	144212478	"TX007803"	"false"
8	4271	"NCGC00255979-01"	301754	144212071	"TX005416"	"false"
9	2048	"NCGC00255160-01"	301385	144211702	"TX003279"	"false"
10	8847	"NCGC00254650-01"	300744	144211061	"TX002593"	"false"
11	1449	"NCGC00256911-01"	302476	144212793	"TX011263"	"false"
12	3817	"NCGC00256557-01"	302959	144213276	"TX001654"	"false"
13	8786	"NCGC00255366-01"	301930	144212247	"TX006622"	"false"
14	4823	"NCGC00256611-01"	302935	144213252	"TX002101"	"false"
15	8059	"NCGC00255907-01"	302296	144212613	"TX008684"	"false"
16	348	"NCGC00257469-01"	303428	144213739	"TX011441"	"false"
17	355	"NCGC00257394-01"	303347	144213664	"TX011230"	"false"
18	2933	"NCGC00257504-01"	303444	144213754	"TX011253"	"false"
19	7071	"NCGC00254833-01"	300931	144211248	"TX001067"	"false"
20	7106	"NCGC00255732-01"	301349	144211666	"TX002889"	"false"
21	2412	"NCGC00255879-01"	301645	144211962	"TX004906"	"false"
22	5167	"NCGC00255630-01"	301933	144212250	"TX006630"	"false"
23	6108	"NCGC00255687-01"	301948	144212265	"TX006684"	"false"
24	7818	"NCGC00256988-01"	303106	144213423	"TX003373"	"false"
25	4822	"NCGC00256572-01"	302906	144213223	"TX002093"	"false"
26	6703	"NCGC00254453-01"	300348	144210666	"TX002275"	"false"
27	7733	"NCGC00256969-01"	303077	144213394	"TX002526"	"false"
28	5178	"NCGC00255450-01"	301538	144211855	"TX004369"	"false"
29	8587	"NCGC00256748-01"	302642	144212959	"TX011249"	"false"
30	7111	"NCGC00255724-01"	301773	144212090	"TX005478"	"false"
31	232	"NCGC00255351-01"	302087	144212404	"TX007493"	"false"
32	8045	"NCGC00255814-01"	302040	144212357	"TX007367"	"false"
33	8911	"NCGC00254812-01"	300908	144211225	"TX002903"	"false"
34	1108	"NCGC00255313-01"	301308	144211625	"TX002333"	"false"
35	6838	"NCGC00257078-01"	303053	144213370	"TX008762"	"false"
36	111	"NCGC00256601-01"	302784	144213101	"TX005675"	"false"
37	2439	"NCGC00255940-01"	302062	144212379	"TX007423"	"false"
38	4252	"NCGC00255482-01"	301226	144211543	"TX001117"	"false"
39	8898	"NCGC00254904-01"	301002	144211319	"TX005946"	"false"
40	2344	"NCGC00257310-01"	303368	144213683	"TX012548"	"false"
41	600	"NCGC00256026-01"	301274	144211591	"TX001229"	"false"
42	2300	"NCGC00254558-01"	300650	144210967	"TX001617"	"false"
43	4751	"NCGC00090708-05"	400006	144213967	"TX002224"	"false"
44	3042	"NCGC00254790-01"	300886	144211203	"TX000908"	"false"
45	7001	"NCGC00255299-01"	301570	144211887	"TX004510"	"false"
46	8750	"NCGC00253943-01"	300016	144210336	"TX001556"	"false"
47	999	"NCGC00254072-01"	300125	144210445	"TX003309"	"false"
48	8753	"NCGC00254472-01"	300614	144210931	"TX010403"	"false"
49	2312	"NCGC00255286-01"	301247	144211564	"TX001165"	"false"
50	4254	"NCGC00255491-01"	302076	144212393	"TX007459"	"false"
51	7942	"NCGC00255373-01"	301587	144211904	"TX004562"	"false"
52	3083	"NCGC00255109-01"	301951	144212268	"TX006698"	"false"
53	476	"NCGC00257491-01"	303508	144213816	"TX012224"	"false"
54	4095	"NCGC00257136-01"	303305	144213622	"TX001381"	"false"
55	2957	"NCGC00256344-01"	302881	144213198	"TX002649"	"false"
56	385	"NCGC00257523-01"	300922	144211239	"TX001795"	"false"
57	3227	"NCGC00255361-01"	302218	144212535	"TX008068"	"false"
58	7776	"NCGC00255350-01"	302395	144212712	"TX009976"	"false"
59	3048	"NCGC00254498-01"	300480	144210798	"TX006838"	"false"
60	1524	"NCGC00254536-01"	300392	144210710	"TX004246"	"false"
61	178	"NCGC00254468-01"	300352	144210670	"TX002327"	"false"
62	377	"NCGC00254259-01"	300372	144210690	"TX003335"	"false"
63	6913	"NCGC00254048-01"	300152	144210472	"TX003786"	"false"
64	8497	"NCGC00254155-01"	300109	144210429	"TX003073"	"false"
65	3908	"NCGC00254184-01"	300198	144210518	"TX005859"	"false"
66	6963	"NCGC00254226-01"	300317	144210636	"TX009216"	"false"
67	6593	"NCGC00254266-01"	300586	144210903	"TX009826"	"false"
68	197	"NCGC00256388-01"	302992	144213309	"TX001792"	"false"
69	7338	"NCGC00254908-01"	301006	144211323	"TX008363"	"false"
70	8927	"NCGC00255548-01"	301500	144211817	"TX004214"	"false"
71	8537	"NCGC00256482-01"	302943	144213260	"TX001904"	"false"
72	8006	"NCGC00254779-01"	300875	144211192	"TX003862"	"false"
73	3226	"NCGC00255293-01"	302034	144212351	"TX007353"	"false"
74	8044	"NCGC00255896-01"	301864	144212181	"TX005920"	"false"
75	4834	"NCGC00255380-01"	302171	144212488	"TX007831"	"false"
76	782	"NCGC00254033-01"	300252	144210572	"TX006243"	"false"
77	2646	"NCGC00254480-01"	300469	144210787	"TX006198"	"false"
78	8276	"NCGC00254320-01"	300435	144210753	"TX006161"	"false"
79	7329	"NCGC00254304-01"	300464	144210782	"TX006193"	"false"
80	1736	"NCGC00254171-01"	300217	144210537	"TX006206"	"false"
81	5452	"NCGC00254053-01"	300253	144210573	"TX006244"	"false"
82	779	"NCGC00253948-01"	300214	144210534	"TX006202"	"false"
83	4507	"NCGC00254111-01"	300256	144210576	"TX006248"	"false"
84	7331	"NCGC00254407-01"	300468	144210786	"TX006197"	"false"
85	3910	"NCGC00254884-01"	300982	144211299	"TX000793"	"false"
86	8274	"NCGC00254375-01"	300431	144210749	"TX006157"	"false"
87	777	"NCGC00254362-01"	300457	144210775	"TX006184"	"false"
88	776	"NCGC00254421-01"	300456	144210774	"TX006183"	"false"
89	7633	"NCGC00254456-01"	300562	144210879	"TX009382"	"false"
90	5443	"NCGC00254493-01"	300458	144210776	"TX006185"	"false"
91	6394	"NCGC00254192-01"	300213	144210533	"TX006201"	"false"
92	9176	"NCGC00254151-01"	300227	144210547	"TX006216"	"false"
93	1730	"NCGC00254348-01"	300449	144210767	"TX006176"	"false"
94	2642	"NCGC00254269-01"	300462	144210780	"TX006190"	"false"
95	7328	"NCGC00254438-01"	300443	144210761	"TX006170"	"false"
96	1731	"NCGC00254534-01"	300451	144210769	"TX006178"	"false"
97	5710	"NCGC00254369-01"	300388	144210706	"TX004062"	"false"
98	4036	"NCGC00256935-01"	303143	144213460	"TX004216"	"false"
99	1459	"NCGC00255623-01"	301831	144212148	"TX005759"	"false"
100	4207	"NCGC00255567-01"	301381	144211698	"TX003231"	"false"
101	1016	"NCGC00256355-01"	302730	144213047	"TX002470"	"false"
102	2417	"NCGC00255832-01"	301391	144211708	"TX003451"	"false"
103	1465	"NCGC00257483-01"	303390	144213702	"TX003872"	"false"
104	6109	"NCGC00255086-01"	301188	144211505	"TX002301"	"false"
105	321	"NCGC00257376-01"	303346	144213663	"TX003359"	"false"
106	6751	"NCGC00257515-01"	303616	144213921	"TX002094"	"false"
107	6395	"NCGC00254173-01"	300244	144210564	"TX006234"	"false"
108	8829	"NCGC00255388-01"	302434	144212751	"TX011626"	"false"
109	6695	"NCGC00254099-01"	300096	144210416	"TX002751"	"false"
