"id"	"substance_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
3379	3833	17	"true"	17	1	
13322	7970	30	"true"	30		
13323	9616	25	"true"			
13324	9618	29	"false"			
13325	9620	25	"true"			
13326	9619	25	"true"			
13327	9621	25	"true"			
13328	9622	25	"true"			
13330	193	33	"true"	18		
13329	9623	29	"true"			
13331	192	33	"true"	21		
13332	191	33	"true"	26		
13333	187	17	"true"	33		
1735	72	26	"true"			
1851	384	17	"false"	17	1	
13334	185	29	"true"	29	3	
1770	194	17	"true"	17	1	
1769	189	17	"true"	17	1	
1768	188	17	"true"	17	1	
1767	184	17	"true"	17	1	
1766	183	17	"true"	17	1	
13335	182	33	"true"	29	2	
1765	179	17	"true"	17	1	
1757	148	17	"false"	17	1	
1758	151	17	"false"	17	1	
1771	195	17	"false"	17	1	
1764	178	17	"true"	17	1	
1773	197	17	"false"	17	1	
1774	199	17	"false"	17	1	
1775	200	17	"false"	17	1	
1776	202	17	"false"	17	1	
1777	205	17	"false"	17	1	
1778	206	17	"false"	17	1	
1779	207	17	"false"	17	1	
1780	210	17	"false"	17	1	
1781	212	17	"false"	17	1	
1782	215	17	"false"	17	1	
1783	216	17	"false"	17	1	
1784	219	17	"false"	17	1	
1785	220	17	"false"	17	1	
1786	221	26	"false"	26	1	
1787	222	17	"false"	17	1	
1788	223	17	"false"	17	1	
1789	225	17	"false"	17	1	
1790	226	26	"false"	26	1	
1791	227	17	"false"	17	1	
1792	228	17	"false"	17	1	
1793	229	17	"false"	17	1	
1794	230	17	"false"	17	1	
1795	232	17	"false"	17	1	
1796	233	17	"false"	17	1	
1797	234	17	"false"	17	1	
1798	235	17	"false"	17	1	
1799	236	17	"false"	17	1	
1800	238	17	"false"	17	1	
1801	239	17	"false"	17	1	
1802	240	17	"false"	17	1	
1803	243	17	"false"	17	1	
1804	244	25	"false"	25	1	
1805	245	17	"false"	17	1	
1806	246	17	"false"	17	1	
1807	248	17	"false"	17	1	
1808	249	17	"false"	17	1	
1763	175	17	"true"	17	1	
1810	257	17	"false"	17	1	
1811	258	17	"false"	17	1	
1762	173	17	"true"	17	1	
1815	273	17	"false"	17	1	
1816	274	17	"false"	17	1	
1817	275	17	"false"	17	1	
1818	276	17	"false"	17	1	
1819	278	17	"false"	17	1	
1820	284	17	"false"	17	1	
1821	286	17	"false"	17	1	
1822	289	17	"false"	17	1	
1823	293	17	"false"	17	1	
1824	298	17	"false"	17	1	
1825	299	17	"false"	17	1	
