"id"	"substance_id"	"file_id"	"note"
6	219	45830	"SWG monograph, uploaded 6/28/22"
7	230	45870	"SWG monograph, uploaded 6/28/22"
8	866	45808	"SWG monograph, uploaded 6/28/22"
9	1052	45703	"SWG monograph, uploaded 6/28/22"
10	1147	45946	"SWG monograph, uploaded 6/28/22"
11	1385	45798	"SWG monograph, uploaded 6/28/22"
12	1697	45730	"SWG monograph, uploaded 6/28/22"
13	2146	45904	"SWG monograph, uploaded 6/28/22"
14	2508	45791	"SWG monograph, uploaded 6/28/22"
15	2562	45929	"SWG monograph, uploaded 6/28/22"
16	3271	45900	"SWG monograph, uploaded 6/28/22"
17	3640	45936	"SWG monograph, uploaded 6/28/22"
18	3801	45799	"SWG monograph, uploaded 6/28/22"
19	3918	45783	"SWG monograph, uploaded 6/28/22"
20	4171	45911	"SWG monograph, uploaded 6/28/22"
21	4772	45789	"SWG monograph, uploaded 6/28/22"
22	4843	45705	"SWG monograph, uploaded 6/28/22"
23	4880	45663	"SWG monograph, uploaded 6/28/22"
24	5523	45710	"SWG monograph, uploaded 6/28/22"
36	1	45801	"SWG monograph, uploaded 6/28/22"
37	2	45893	"SWG monograph, uploaded 6/28/22"
38	3	45774	"SWG monograph, uploaded 6/28/22"
39	4	45776	"SWG monograph, uploaded 6/28/22"
40	5	45684	"SWG monograph, uploaded 6/28/22"
25	5667	45723	"SWG monograph, uploaded 6/28/22"
26	6353	45890	"SWG monograph, uploaded 6/28/22"
27	6760	45718	"SWG monograph, uploaded 6/28/22"
28	7697	45749	"SWG monograph, uploaded 6/28/22"
29	7755	45982	"SWG monograph, uploaded 6/28/22"
30	7763	45732	"SWG monograph, uploaded 6/28/22"
31	7930	45926	"SWG monograph, uploaded 6/28/22"
32	8471	45753	"SWG monograph, uploaded 6/28/22"
33	8617	45739	"SWG monograph, uploaded 6/28/22"
34	8629	45781	"SWG monograph, uploaded 6/28/22"
35	9367	45947	"SWG monograph, uploaded 6/28/22"
83	48	45959	"SWG monograph, uploaded 6/28/22"
84	49	45888	"SWG monograph, uploaded 6/28/22"
85	50	45921	"SWG monograph, uploaded 6/28/22"
86	51	45934	"SWG monograph, uploaded 6/28/22"
87	52	45968	"SWG monograph, uploaded 6/28/22"
88	53	45908	"SWG monograph, uploaded 6/28/22"
89	54	45961	"SWG monograph, uploaded 6/28/22"
90	55	45806	"SWG monograph, uploaded 6/28/22"
91	56	45887	"SWG monograph, uploaded 6/28/22"
92	57	45853	"SWG monograph, uploaded 6/28/22"
93	58	45685	"SWG monograph, uploaded 6/28/22"
94	59	45662	"SWG monograph, uploaded 6/28/22"
95	60	45866	"SWG monograph, uploaded 6/28/22"
96	61	45865	"SWG monograph, uploaded 6/28/22"
97	62	45977	"SWG monograph, uploaded 6/28/22"
98	9368	45729	"SWG monograph, uploaded 6/28/22"
99	9369	45727	"SWG monograph, uploaded 6/28/22"
100	9370	45892	"SWG monograph, uploaded 6/28/22"
41	6	45778	"SWG monograph, uploaded 6/28/22"
101	9371	45658	"SWG monograph, uploaded 6/28/22"
42	7	45777	"SWG monograph, uploaded 6/28/22"
43	8	45741	"SWG monograph, uploaded 6/28/22"
44	9	45692	"SWG monograph, uploaded 6/28/22"
45	10	45765	"SWG monograph, uploaded 6/28/22"
46	11	45797	"SWG monograph, uploaded 6/28/22"
47	12	45975	"SWG monograph, uploaded 6/28/22"
48	13	45971	"SWG monograph, uploaded 6/28/22"
49	14	45804	"SWG monograph, uploaded 6/28/22"
50	15	45766	"SWG monograph, uploaded 6/28/22"
51	16	45701	"SWG monograph, uploaded 6/28/22"
52	17	45666	"SWG monograph, uploaded 6/28/22"
53	18	45920	"SWG monograph, uploaded 6/28/22"
54	19	45837	"SWG monograph, uploaded 6/28/22"
55	20	45914	"SWG monograph, uploaded 6/28/22"
56	21	45780	"SWG monograph, uploaded 6/28/22"
57	22	45793	"SWG monograph, uploaded 6/28/22"
58	23	45978	"SWG monograph, uploaded 6/28/22"
59	24	45843	"SWG monograph, uploaded 6/28/22"
60	25	45771	"SWG monograph, uploaded 6/28/22"
61	26	45905	"SWG monograph, uploaded 6/28/22"
62	27	45733	"SWG monograph, uploaded 6/28/22"
63	28	45737	"SWG monograph, uploaded 6/28/22"
64	29	45803	"SWG monograph, uploaded 6/28/22"
65	30	45928	"SWG monograph, uploaded 6/28/22"
66	31	45668	"SWG monograph, uploaded 6/28/22"
67	32	45864	"SWG monograph, uploaded 6/28/22"
68	33	45752	"SWG monograph, uploaded 6/28/22"
69	34	45751	"SWG monograph, uploaded 6/28/22"
70	35	45683	"SWG monograph, uploaded 6/28/22"
71	36	45726	"SWG monograph, uploaded 6/28/22"
72	37	45695	"SWG monograph, uploaded 6/28/22"
73	38	45722	"SWG monograph, uploaded 6/28/22"
74	39	45956	"SWG monograph, uploaded 6/28/22"
