"id"	"dtxsid"	"preferred_name"	"casrn"	"mol_formula"	"mol_weight"	"pubchem_cid"
63	"DTXSID0020020"	"4-Acetylaminophenylacetic acid"	"18699-02-0"	"C10H11NO3"	193.202	2018
64	"DTXSID0020022"	"Acifluorfen"	"50594-66-6"	"C14H7ClF3NO5"	361.66	44073
65	"DTXSID0020024"	"Acrolein diethylacetal"	"3054-95-3"	"C7H14O2"	130.187	62477
66	"DTXSID0020070"	"Aminocaproic acid"	"60-32-2"	"C6H13NO2"	131.175	564
67	"DTXSID0020072"	"4-Biphenylamine hydrochloride"	"2113-61-3"	"C12H12ClN"	205.69	5284341
68	"DTXSID0020074"	"Gabapentin"	"60142-96-3"	"C9H17NO2"	171.24	3446
69	"DTXSID0020076"	"Amitrole"	"61-82-5"	"C2H4N4"	84.082	1639
70	"DTXSID0020101"	"Aroclor 1260"	"11096-82-5"			38018
71	"DTXSID0020103"	"Arsenic oxide (As2O3)"	"1327-53-3"	"As2O3"	197.84	518605
72	"DTXSID0020105"	"Sodium L-ascorbate"	"134-03-2"	"C6H7NaO6"	198.106	23667548
73	"DTXSID0020107"	"Aspartame"	"22839-47-0"	"C14H18N2O5"	294.307	134601
74	"DTXSID0020151"	"Benzyl acetate"	"140-11-4"	"C9H10O2"	150.177	8785
75	"DTXSID0020153"	"Benzyl chloride"	"100-44-7"	"C7H7Cl"	126.58	7503
76	"DTXSID0020155"	"Benzyl isothiocyanate"	"622-78-6"	"C8H7NS"	149.21	2346
77	"DTXSID0020157"	"Benzylhydrazine dihydrochloride"	"20570-96-1"	"C7H12Cl2N2"	195.09	146540
78	"DTXSID0020232"	"Caffeine"	"58-08-2"	"C8H10N4O2"	194.194	2519
79	"DTXSID0020236"	"Calcium lactate"	"814-80-2"	"C6H10CaO6"	218.218	13144
80	"DTXSID0020238"	"Camostat mesylate"	"59721-29-8"	"C21H26N4O8S"	494.52	5284360
81	"DTXSID0020280"	"1-Chloro-2-nitrobenzene"	"88-73-3"	"C6H4ClNO2"	157.55	6945
82	"DTXSID0020282"	"4-Chloro-1,3-diaminobenzene"	"5131-60-2"	"C6H7ClN2"	142.59	21209
83	"DTXSID0020284"	"2-Chloro-1,4-diaminobenzene sulfate (1:1)"	"61702-44-1"	"C6H9ClN2O4S"	240.66	22584
84	"DTXSID0020286"	"3-Chloro-4-methylaniline"	"95-74-9"	"C7H8ClN"	141.6	7255
