id,substances_id,orig_sample_id,tox21_id,pubchem_sid,withdrawn,bottle_barcode
1,6934,NCGC00256957-01,303184,144213501,0,TX001737
2,1450,NCGC00255652-01,301387,144211704,0,TX003293
3,324,NCGC00257138-01,303334,144213651,0,TX003866
4,6147,NCGC00254853-01,300951,144211268,0,TX002391
5,1119,NCGC00255307-01,302335,144212652,0,TX009064
6,407,NCGC00257237-01,303365,144213680,0,TX008733
7,6728,NCGC00255377-01,302161,144212478,0,TX007803
8,4271,NCGC00255979-01,301754,144212071,0,TX005416
9,2048,NCGC00255160-01,301385,144211702,0,TX003279
10,8847,NCGC00254650-01,300744,144211061,0,TX002593
11,1449,NCGC00256911-01,302476,144212793,0,TX011263
12,3817,NCGC00256557-01,302959,144213276,0,TX001654
13,8786,NCGC00255366-01,301930,144212247,0,TX006622
14,4823,NCGC00256611-01,302935,144213252,0,TX002101
15,8059,NCGC00255907-01,302296,144212613,0,TX008684
16,348,NCGC00257469-01,303428,144213739,0,TX011441
17,355,NCGC00257394-01,303347,144213664,0,TX011230
18,2933,NCGC00257504-01,303444,144213754,0,TX011253
19,7071,NCGC00254833-01,300931,144211248,0,TX001067
20,7106,NCGC00255732-01,301349,144211666,0,TX002889
21,2412,NCGC00255879-01,301645,144211962,0,TX004906
22,5167,NCGC00255630-01,301933,144212250,0,TX006630
23,6108,NCGC00255687-01,301948,144212265,0,TX006684
24,7818,NCGC00256988-01,303106,144213423,0,TX003373
25,4822,NCGC00256572-01,302906,144213223,0,TX002093
26,6703,NCGC00254453-01,300348,144210666,0,TX002275
27,7733,NCGC00256969-01,303077,144213394,0,TX002526
28,5178,NCGC00255450-01,301538,144211855,0,TX004369
29,8587,NCGC00256748-01,302642,144212959,0,TX011249
30,7111,NCGC00255724-01,301773,144212090,0,TX005478
31,232,NCGC00255351-01,302087,144212404,0,TX007493
32,8045,NCGC00255814-01,302040,144212357,0,TX007367
33,8911,NCGC00254812-01,300908,144211225,0,TX002903
34,1108,NCGC00255313-01,301308,144211625,0,TX002333
35,6838,NCGC00257078-01,303053,144213370,0,TX008762
36,111,NCGC00256601-01,302784,144213101,0,TX005675
37,2439,NCGC00255940-01,302062,144212379,0,TX007423
38,4252,NCGC00255482-01,301226,144211543,0,TX001117
39,8898,NCGC00254904-01,301002,144211319,0,TX005946
40,2344,NCGC00257310-01,303368,144213683,0,TX012548
41,600,NCGC00256026-01,301274,144211591,0,TX001229
42,2300,NCGC00254558-01,300650,144210967,0,TX001617
43,4751,NCGC00090708-05,400006,144213967,0,TX002224
44,3042,NCGC00254790-01,300886,144211203,0,TX000908
45,7001,NCGC00255299-01,301570,144211887,0,TX004510
46,8750,NCGC00253943-01,300016,144210336,0,TX001556
47,999,NCGC00254072-01,300125,144210445,0,TX003309
48,8753,NCGC00254472-01,300614,144210931,0,TX010403
49,2312,NCGC00255286-01,301247,144211564,0,TX001165
50,4254,NCGC00255491-01,302076,144212393,0,TX007459
51,7942,NCGC00255373-01,301587,144211904,0,TX004562
52,3083,NCGC00255109-01,301951,144212268,0,TX006698
53,476,NCGC00257491-01,303508,144213816,0,TX012224
54,4095,NCGC00257136-01,303305,144213622,0,TX001381
55,2957,NCGC00256344-01,302881,144213198,0,TX002649
56,385,NCGC00257523-01,300922,144211239,0,TX001795
57,3227,NCGC00255361-01,302218,144212535,0,TX008068
58,7776,NCGC00255350-01,302395,144212712,0,TX009976
59,3048,NCGC00254498-01,300480,144210798,0,TX006838
60,1524,NCGC00254536-01,300392,144210710,0,TX004246
61,178,NCGC00254468-01,300352,144210670,0,TX002327
62,377,NCGC00254259-01,300372,144210690,0,TX003335
63,6913,NCGC00254048-01,300152,144210472,0,TX003786
64,8497,NCGC00254155-01,300109,144210429,0,TX003073
65,3908,NCGC00254184-01,300198,144210518,0,TX005859
66,6963,NCGC00254226-01,300317,144210636,0,TX009216
67,6593,NCGC00254266-01,300586,144210903,0,TX009826
68,197,NCGC00256388-01,302992,144213309,0,TX001792
69,7338,NCGC00254908-01,301006,144211323,0,TX008363
70,8927,NCGC00255548-01,301500,144211817,0,TX004214
71,8537,NCGC00256482-01,302943,144213260,0,TX001904
72,8006,NCGC00254779-01,300875,144211192,0,TX003862
73,3226,NCGC00255293-01,302034,144212351,0,TX007353
74,8044,NCGC00255896-01,301864,144212181,0,TX005920
75,4834,NCGC00255380-01,302171,144212488,0,TX007831
76,782,NCGC00254033-01,300252,144210572,0,TX006243
77,2646,NCGC00254480-01,300469,144210787,0,TX006198
78,8276,NCGC00254320-01,300435,144210753,0,TX006161
79,7329,NCGC00254304-01,300464,144210782,0,TX006193
80,1736,NCGC00254171-01,300217,144210537,0,TX006206
81,5452,NCGC00254053-01,300253,144210573,0,TX006244
82,779,NCGC00253948-01,300214,144210534,0,TX006202
83,4507,NCGC00254111-01,300256,144210576,0,TX006248
84,7331,NCGC00254407-01,300468,144210786,0,TX006197
85,3910,NCGC00254884-01,300982,144211299,0,TX000793
86,8274,NCGC00254375-01,300431,144210749,0,TX006157
87,777,NCGC00254362-01,300457,144210775,0,TX006184
88,776,NCGC00254421-01,300456,144210774,0,TX006183
89,7633,NCGC00254456-01,300562,144210879,0,TX009382
90,5443,NCGC00254493-01,300458,144210776,0,TX006185
91,6394,NCGC00254192-01,300213,144210533,0,TX006201
92,9176,NCGC00254151-01,300227,144210547,0,TX006216
93,1730,NCGC00254348-01,300449,144210767,0,TX006176
94,2642,NCGC00254269-01,300462,144210780,0,TX006190
95,7328,NCGC00254438-01,300443,144210761,0,TX006170
96,1731,NCGC00254534-01,300451,144210769,0,TX006178
97,5710,NCGC00254369-01,300388,144210706,0,TX004062
98,4036,NCGC00256935-01,303143,144213460,0,TX004216
99,1459,NCGC00255623-01,301831,144212148,0,TX005759
100,4207,NCGC00255567-01,301381,144211698,0,TX003231
101,1016,NCGC00256355-01,302730,144213047,0,TX002470
102,2417,NCGC00255832-01,301391,144211708,0,TX003451
103,1465,NCGC00257483-01,303390,144213702,0,TX003872
104,6109,NCGC00255086-01,301188,144211505,0,TX002301
105,321,NCGC00257376-01,303346,144213663,0,TX003359
106,6751,NCGC00257515-01,303616,144213921,0,TX002094
107,6395,NCGC00254173-01,300244,144210564,0,TX006234
108,8829,NCGC00255388-01,302434,144212751,0,TX011626
109,6695,NCGC00254099-01,300096,144210416,0,TX002751
110,5688,NCGC00254373-01,300613,144210930,0,TX010388
111,8945,NCGC00254352-01,300626,144210943,0,TX011624
112,4902,NCGC00254101-01,300017,144210337,0,TX001651
113,8598,NCGC00255352-01,302330,144212647,0,TX009040
114,4959,NCGC00254517-01,300350,144210668,0,TX002289
115,169,NCGC00254220-01,300117,144210437,0,TX003185
116,3094,NCGC00090698-04,400041,144214002,0,TX009028
117,7778,NCGC00254103-01,300293,144210613,0,TX008552
118,1190,NCGC00254544-01,300621,144210938,0,TX011614
119,2867,NCGC00254442-01,300421,144210739,0,TX005994
120,3221,NCGC00254548-01,300394,144210712,0,TX004421
121,3909,NCGC00257306-01,303599,144213904,0,TX012512
122,175,NCGC00254183-01,300058,144210378,0,TX002253
123,8512,NCGC00253915-01,300105,144210425,0,TX002953
124,86,NCGC00254546-01,300367,144210685,0,TX003222
125,2982,NCGC00253961-01,300056,144210376,0,TX002221
126,8508,NCGC00254395-01,300328,144210646,0,TX001384
127,5778,NCGC00253981-01,300059,144210379,0,TX002257
128,2305,NCGC00254802-01,300898,144211215,0,TX000906
129,2930,NCGC00253957-01,300182,144210502,0,TX005141
130,3778,NCGC00015060-14,400024,144213985,0,TX005739
131,1262,NCGC00254356-01,300561,144210878,0,TX009342
132,5107,NCGC00254805-01,300901,144211218,0,TX002846
133,2338,NCGC00254747-01,300844,144211161,0,TX000657
134,4179,NCGC00255014-01,301114,144211431,0,TX001412
135,4168,NCGC00254689-01,300785,144211102,0,TX000700
136,3050,NCGC00254700-01,300796,144211113,0,TX000698
137,1197,NCGC00254715-01,300811,144211128,0,TX000955
138,8550,NCGC00256369-01,302963,144213280,0,TX009499
139,4759,NCGC00163724-03,400049,144214010,0,TX009154
140,3232,NCGC00254944-01,301042,144211359,0,TX000761
141,145,NCGC00254978-01,301077,144211394,0,TX000824
142,9187,NCGC00254342-01,300628,144210945,0,TX011627
143,8901,NCGC00255634-01,301635,144211952,0,TX004886
144,8825,NCGC00254639-01,300733,144211050,0,TX000710
145,5117,NCGC00255696-01,302379,144212696,0,TX009861
146,1307,NCGC00257204-01,303196,144213513,0,TX002775
147,4812,NCGC00256553-01,302891,144213208,0,TX003075
148,2220,NCGC00254167-01,300114,144210434,0,TX003117
149,1057,NCGC00254950-01,301048,144211365,0,TX002777
150,1181,NCGC00254934-01,301032,144211349,0,TX000814
151,4925,NCGC00254579-01,300671,144210988,0,TX002823
152,153,NCGC00254404-01,300503,144210821,0,TX007272
153,4172,NCGC00254503-01,300475,144210793,0,TX006644
154,7030,NCGC00257463-01,303641,144213946,0,TX004108
155,2868,NCGC00254294-01,300332,144210650,0,TX001640
156,3285,NCGC00254361-01,300396,144210714,0,TX004594
157,4276,NCGC00254270-01,300374,144210692,0,TX003405
158,2352,NCGC00254528-01,300402,144210720,0,TX005080
159,4067,NCGC00254243-01,300481,144210799,0,TX006849
160,5233,NCGC00254434-01,300519,144210837,0,TX008152
161,5078,NCGC00254010-01,300304,144210624,0,TX008788
162,6146,NCGC00255877-01,301310,144211627,0,TX002399
163,8583,NCGC00254745-01,300842,144211159,0,TX000988
164,8939,NCGC00255749-01,301380,144211697,0,TX003207
165,8928,NCGC00255435-01,302033,144212350,0,TX007351
166,505,NCGC00255507-01,301881,144212198,0,TX006034
167,7012,NCGC00256739-01,302497,144212814,0,TX011642
168,1366,NCGC00254860-01,300958,144211275,0,TX000757
169,4889,NCGC00257447-01,303388,144213700,0,TX003916
170,1363,NCGC00255337-01,301824,144212141,0,TX005701
171,5000,NCGC00255318-01,302423,144212740,0,TX010218
172,4947,NCGC00257104-01,303123,144213440,0,TX001699
173,6715,NCGC00257323-01,303566,144213871,0,TX011370
174,7922,NCGC00254635-01,300729,144211046,0,TX000876
175,6022,NCGC00255283-01,301392,144211709,0,TX003457
176,3901,NCGC00257387-01,303490,144213799,0,TX012260
177,7608,NCGC00256363-01,302868,144213185,0,TX006550
178,6432,NCGC00257351-01,303461,144213771,0,TX012225
179,1266,NCGC00256948-01,303325,144213642,0,TX001769
180,6850,NCGC00257398-01,303400,144213711,0,TX012262
181,1482,NCGC00257282-01,303498,144213806,0,TX012219
182,464,NCGC00254658-01,300753,144211070,0,TX000717
183,6979,NCGC00257373-01,303569,144213874,0,TX012227
184,4735,NCGC00254743-01,300840,144211157,0,TX001608
185,442,NCGC00254948-01,301046,144211363,0,TX000801
186,4543,NCGC00257341-01,303589,144213894,0,TX012243
187,2053,NCGC00256327-01,302922,144213239,0,TX001649
188,4238,NCGC00254932-01,301030,144211347,0,TX003213
189,5491,NCGC00257366-01,303476,144213786,0,TX012215
190,9170,NCGC00253947-01,300207,144210527,0,TX006148
191,9171,NCGC00253990-01,300209,144210529,0,TX006150
192,2639,NCGC00254241-01,300439,144210757,0,TX006165
193,2649,NCGC00254032-01,300237,144210557,0,TX006227
194,8280,NCGC00254195-01,300260,144210580,0,TX006252
195,3580,NCGC00254230-01,300231,144210551,0,TX006220
196,8278,NCGC00253949-01,300233,144210553,0,TX006222
197,8275,NCGC00254291-01,300433,144210751,0,TX006159
198,7326,NCGC00254381-01,300437,144210755,0,TX006163
199,1729,NCGC00254297-01,300447,144210765,0,TX006174
200,4013,NCGC00254328-01,300478,144210796,0,TX006796
201,4798,NCGC00254422-01,300340,144210658,0,TX001830
