id,substances_id,bp_degc,mp_degc,vp_mmhg,logp
380,63,291.209,172.906,2.16283e-06,1.11074
381,64,322.23,150.015,1.14862e-09,3.70059
382,65,123.641,-79.3488,30.9115,0.752342
383,66,237.858,205.359,0.0190214,-2.94758
384,67,301.913,194.406,0.000338427,-0.424458
385,68,276.319,202.002,0.000520917,-1.10005
386,69,258.099,158.926,4.40587e-07,-0.920745
389,72,274.055,177.667,1.2512e-07,-2.16424
390,73,284.275,246.419,6.01975e-10,-1.20454
391,74,213.17,-46.9733,0.174472,1.96276
392,75,178.7,-44.0114,1.23752,2.30213
393,76,242.975,39.5043,0.0154041,3.1587
394,77,207.968,154.921,0.00577866,-0.781898
395,78,286.293,237.711,2.06086e-06,-0.0709947
396,79,208.699,234.432,0.0809846,-1.51452
397,80,274.666,144.495,6.8212e-10,0.551535
398,81,245.384,32.8681,0.0184121,2.24069
399,82,238.522,89.0669,0.000666503,0.852332
400,83,238.642,164.244,0.000666547,0.716277
401,84,242.378,26.4048,0.0565806,1.92613
402,85,243.886,197.736,0.0534747,-1.02692
403,86,300.004,170.356,4.98947e-07,1.94076
404,87,112.163,-63.9305,24.0246,2.08833
405,88,349.957,249.868,5.72958e-07,2.97569
406,89,133.968,216.244,10.0543,-1.46273
407,90,195.968,57.8046,0.34022,0.926734
408,91,380.069,149.502,1.26807e-07,2.92003
409,92,247.023,193.444,6.87547e-06,-2.37405
410,93,291.315,204.99,3.52734e-10,-0.239979
411,94,298.485,122.077,7.66774e-08,2.82704
412,95,300.498,140.55,2.88557e-07,2.80925
414,97,323.021,157.942,6.91869e-08,2.6782
415,98,95.4989,-99.53,53.4504,1.98521
416,99,180.928,-65.6584,0.954362,-0.60872
417,100,284.522,101.938,0.00994344,2.24539
418,101,349.667,115.365,0.00038742,1.67226
419,102,158.963,148.637,0.0055648,-0.848713
420,103,299.891,76.0415,0.000148326,1.97937
421,104,372.628,199.93,3.41838e-10,3.90868
422,105,215.568,-8.09962,0.173779,3.0209
423,106,302.531,162.849,5.07735e-06,0.896299
424,107,261.925,131.01,0.00429726,-1.10409
425,108,226.929,75.4468,0.0258646,0.443099
426,109,416.901,-67.4374,8.51809e-07,6.85125
427,110,304.082,186.569,3.4417e-09,0.69942
428,111,326.668,62.1199,9.32744e-06,4.43118
429,112,238.317,-53.0753,0.0330885,4.04073
430,113,387.795,233.988,7.25685e-10,0.242195
431,114,255.329,238.027,1.7444e-09,-1.34512
432,115,254.046,52.8228,0.0122002,2.14105
434,117,323.15,250.212,1.26157e-08,0.00998996
435,118,346.828,150.621,8.38536e-09,4.15031
436,119,332.931,181.805,2.98506e-06,0.0347375
437,120,366.776,179.947,4.29116e-08,6.41889
438,121,39.9752,-94.9247,432.972,1.25139
440,123,316.736,118.214,0.000111003,1.47056
441,124,193.19,77.954,0.460764,0.920501
442,125,350.061,144.107,7.37503e-07,1.36378
443,126,353.637,85.0409,3.34158e-06,2.32726
444,127,257.849,158.994,3.5089e-10,-0.291492
445,128,273.973,154.173,5.11532e-10,-1.40504
446,129,404.143,262.5,2.03098e-09,2.88965
447,130,342.142,173.719,1.60886e-06,0.829785
448,131,241.016,63.6203,0.0985525,3.27879
450,133,312.485,134.991,1.24564e-09,0.793324
451,134,187.669,-59.8063,0.127532,-0.918877
452,135,234.486,11.2529,0.00544424,2.05672
453,136,274.549,215.925,7.34917e-10,2.42528
454,137,332.823,205.185,1.35823e-07,-0.714414
455,138,315.877,140.592,2.0414e-08,0.658086
456,139,282.531,109.391,2.52288e-05,0.937366
457,140,333.596,82.6984,3.0202e-06,2.13111
458,141,335.969,299.714,4.03651e-09,2.46847
459,142,228.641,51.5369,0.00410152,0.529685
460,143,74.1021,-30.5694,122.759,2.48961
461,144,87.2959,-84.4256,69.1699,2.51389
462,145,319.278,150.663,1.57511e-07,2.8482
463,146,321.868,181.349,7.44719e-06,3.79814
464,147,290.878,76.9546,7.85214e-06,0.511388
465,148,344.778,133.585,1.93407e-06,1.03596
466,149,411.783,-73.9686,8.28284e-08,9.20331
467,150,296.443,207.125,5.23208e-09,-1.04732
468,151,402.122,164.54,1.03454e-09,3.74509
469,152,272.116,110.834,0.00179558,-1.90293
471,154,181.427,-57.1134,0.952691,4.73179
472,155,184.894,50.6095,0.28598,0.437691
473,156,117.821,-52.5896,12.1723,0.824998
474,157,152.628,-42.8569,3.50088,1.93382
475,158,182.972,-48.7423,0.896052,1.67415
476,159,127.233,-99.8491,26.1585,1.07068
477,160,248.818,28.2925,0.018433,2.51955
478,161,72.0981,35.981,4.90523,-0.278445
479,162,85.9428,-41.9065,74.3901,2.08955
480,163,289.986,129.189,0.114975,0.640773
481,164,74.0433,-43.4413,71.1587,0.409544
482,165,173.97,31.4923,0.126434,1.72797
483,166,107.701,-107.885,10.452,0.761386
484,167,290.495,98.4271,0.00794182,0.832615
485,168,211.167,-44.2648,0.1789,2.80901
486,169,278.91,113.564,9.97059e-05,1.91211
487,170,297.033,172.669,0.000236678,1.46675
488,171,140.053,-38.902,24.5687,2.28292
489,172,102.02,-72.0089,35.2113,0.909727
490,173,304.936,4.38899,0.00051005,3.93993
491,174,68.599,-96.2548,150.711,3.90054
492,175,305.417,48.2661,0.00191301,3.18141
493,176,267.359,40.8906,0.00416161,2.3985
494,177,213.479,17.7013,0.458566,3.99445
495,178,285.024,82.0226,0.00011694,1.19255
496,179,331.026,50.5074,1.94959e-06,7.61385
497,180,243.972,47.9723,0.0195899,1.34179
498,181,212.57,57.8585,0.0318421,2.04281
499,182,174.002,158.842,0.743586,-0.152519
500,183,313.428,-24.9887,9.80382e-05,4.0184
501,184,201.533,54.8157,0.0176583,1.737
502,185,94.2465,-88.4292,52.1661,0.841394
503,186,125.545,-55.6268,11.6621,1.38047
504,187,205.018,-39.7473,0.0791861,1.23608
505,188,256.152,-9.2533,0.0153145,2.5312
506,189,268.176,116.269,0.00203435,4.21014
507,190,332.837,160.744,2.74802e-07,2.83876
508,191,413.551,133.358,8.67689e-09,6.19929
509,192,211.832,-60.6997,0.554423,4.07296
511,194,313.193,89.2923,0.00011743,3.52363
512,195,436.862,220.498,6.66949e-09,5.80864
513,196,366.48,171.649,1.2178e-09,3.45546
514,197,218.18,-2.28239,0.050009,2.40291
515,198,290.203,180.771,1.27997e-09,-0.0321543
516,199,276.894,209.086,9.93532e-10,3.06823
517,200,298.877,181.643,1.2372e-06,0.683995
518,201,374.168,135.933,3.28703e-10,8.1545
520,203,350.22,51.145,7.78922e-07,2.6693
521,204,306.788,24.5622,7.47236e-06,5.0808
522,205,391.178,154.94,4.76698e-09,3.87193
523,206,337.548,212.958,3.83004e-10,2.79034
524,207,374.158,121.873,3.36956e-10,8.13478
525,208,328.26,199.679,3.73042e-09,4.1427
526,209,435.011,175.032,7.85892e-10,9.72907
527,210,292.169,158.086,3.07764e-11,3.56624
528,211,255.392,220.65,1.15546e-10,-0.239686
529,212,361.149,89.0721,1.44973e-07,5.4084
